region_name,gdp_per_capita
Algeria,7300
Angola,8200
Benin,
Botswana,14000
Burkina Faso,1200
Burundi,300
Cameroon,2300
Central African Republic,700
Chad,1600
Comoros,1000
"Congo, Democratic Republic of the",300
"Congo, Republic of the",4100
Cote d'Ivoire,1800
Djibouti,1690
Egypt,6200
Equatorial Guinea,20581
Eritrea,600
Ethiopia,1000
Gabon,14500
"Gambia, The",1900
Ghana,2500
Guinea,1000
Guinea-Bissau,
Kenya,1600
Lesotho,1700
Liberia,500
Libya,14000
Madagascar,900
Malawi,800
Mali,1200
Mauritania,2100
Mauritius,14000
Morocco,4800
Mozambique,1000
Namibia,6900
Niger,700
Nigeria,2500
Rwanda,1100
Senegal,1900
Sierra Leone,
Somalia,780
South Africa,10700
Sudan,2300
Swaziland,4500
Tanzania,1400
Togo,900
Tunisia,9400
Uganda,1300
Zambia,1500
Zimbabwe,500